toplistindex,id,name,subs,views,uploads,countryCode,contentCategory,meantbu,mediantbu,
52,UCa10nxShhzNrCE1o2ZOPztg,Trap Nation,27.5M,10005567069,1816,US,None,4.979591836734694,27,
53,UCK1i2UviaXLUNrZlAFpw_jA,El Reino Infantil,27.4M,24339738265,740,AR,None,34.89795918367347,126,
54,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,27.3M,3576019643,705,MX,None,-0.9795918367346939,20,
55,UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,27.2M,17751835437,107,US,None,-14.489795918367347,-63,
56,NONE,LUCCAS NETO - LUCCAS TOON,27M,7670609202,735,BR,None,NONE,None,
57,UCRv76wLBC73jiP7LX4C3l8Q,Маша и Медведь,26.7M,21781134139,659,RU,None,41.55102040816327,-18,
58,NONE,Shakira,26.6M,166436415,238,CO,None,NONE,None,
59,UCxoq-PAQeAdk_zyg8YS0JqA,Luis Fonsi,26.4M,18028157,74,US,None,4.9375,0.5,
60,NONE,NULL,NULL,NULL,NULL,NULL,NULL,NONE,None,
61,UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,26.2M,13300326974,7637,IN,None,8.285714285714286,68,
62,NONE,NULL,4,0,0,NL,NULL,NONE,None,
63,UCNUQK9mQoqi4yNXw2_Rj6SA,GR6 EXPLODE,26.2M,12532186387,2840,BR,None,-8.571428571428571,23,
64,UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO,26M,13821487496,84,US,None,-4.551020408163265,1,
65,UC3ZkCd7XtUREnjjt3cyY_gg,WorkpointOfficial,26M,21872365673,37638,TH,None,-9.875,-44.0,
66,UC2xskkQVFEpLcGFnNSLQY0A,RihannaVEVO,26M,14538177275,106,US,None,-22.06122448979592,-14,
67,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,25.9M,11171031340,67,US,None,42,0,
68,UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO,25.9M,18303838458,135,US,None,-21.285714285714285,140,
69,UC3MLnJtqc_phABBriLRhtgQ,SonyMusicIndiaVEVO,25.6M,11721785479,3019,US,None,-0.2653061224489796,-7,
70,UCKqx9r4mrFglauNBJc1L_eg,[토이푸딩] ToyPudding TV,25.5M,14846157696,2930,US,None,7.1020408163265305,-126,
71,UC9TO_oo4c_LrOiKNaY6aysA,Daddy Yankee,25.4M,9181817722,349,PR,None,-57.16326530612245,36,
72,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,25.2M,3668239937,709,US,None,2.2916666666666665,20.0,
73,UCbTVTephX30ZhQF5zwFppBg,rezendeevil,25.1M,9053709228,8168,BR,None,31.416666666666668,49.0,
74,UCcdwLMPsaU2ezNSJU1nFoBQ,Pinkfong! Kids' Songs & Stories,25M,10452941980,1388,US,None,-7.469387755102041,32,
75,UCY30JRSgfhYXA6i6xX1erWg,Smosh,25M,9024342717,1081,US,None,63.229166666666664,-77.0,
76,UCRx3mKNUdl8QE06nEug7p6Q,Billion Surprise Toys - BST Kids Songs,24.9M,6549121841,159,US,None,3.020408163265306,24,
77,UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,24.9M,11714244689,1074,CA,None,4.653061224489796,-21,
78,UC6-F5tO8uklgE9Zy8IvbdFw,SAB TV,24.8M,22760504013,26048,IN,None,-2.7755102040816326,19,
79,UCbTLwN10NoCU4WDzLf1JMOA,YRF,24.8M,13077655827,3733,IN,None,-47.59183673469388,11,
80,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,24.4M,11884887227,4521,US,None,-4.458333333333333,-26.0,
81,UCBNs31xysxpAGMheg8OrngA,Yuya,24M,2445370998,616,MX,None,3.6458333333333335,117.5,
82,NONE,Shawn Mendes,24M,289811681,87,CA,None,NONE,None,
83,UCaayLD9i5x4MmIoVZxXSv_g,T-Series Bhakti Sagar,24M,9582134816,20279,IN,None,55.795918367346935,9,
84,UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds,23.9M,6860076184,676,GB,None,15.122448979591837,-139,
85,UCPNxhDvTcytIdvwXWAm43cA,Selena Gomez,23.1M,486860781,170,US,None,-75.26530612244898,-86,
86,UCJrDMFOdv1I2k8n9oK_V21w,Tips Official,23.1M,9834123530,2690,IN,None,0.061224489795918366,17,
87,UCV9_KinVpV-snHe3C3n1hvA,shane,22.9M,5304127597,1694,US,None,-2.857142857142857,-28,
